z,name,description,organizations,attachments,text,R0,R1,R2,R3,R4,R5,R6,R7,R8,R9,viability,readiness,importance,I-all,I01,I02,I03,I04,I05,I06,I07,I08,I09,I10,I11,I12,A1,photo,url,category,cluster,label
10041,Identity Wearable,"Accessories and clothing connected to the cloud and to other applications have the potential to become an authenticator for transactions, especially when connected to unique biometric authenticators such as heart beat or voice. Near field communication (NFC), location and scanning technologies on smartphones are powering contactless in-store transactions. tap their phone on a NFC machine, or check in with a nearby merchant to autorize transactions from linked accounts. This streamlines payment systems, reduces infrastructure and lowers costs. Credentials can be easily programmed into the wearables and because the communication between devices is cryptographed, it is possible to perform payments or enable access using simply bluetooth or proximity.  ","90,91,92","82, 83",-,4,4.5,4,3,3.5,4,3,3,3,3.5,3.73,3.48,3.26,3,3,1,2,4,3,2,3,2,1,3,3,4,4,https://trello-attachments.s3.amazonaws.com/56e41c0b7b6cd4b0ebd97cde/977x488/ff4e4c5f2451e29db2aeefecd71f3fd3/usingnb_physical.jpg,,4,5,E1
10042,Equity Crowdfunding,"Startups, companies and creators are opening up their shares, even before they become public, in order to raise capital faster. With new regulations, it will become easier for non-accredited investors own part of companies and projects, choosing how much they want and can invest. The value of the shares follows the venture’s growth, creating a mutual relationship based on success with the shareholders.  As this type of funding becomes global, interesting ideas will sprout much faster based on how interesting they are to the community. ","93,94,34","84, 85, 86",-,4,5,4,4,3,4,3,3,4,3.5,3.90,3.66,3.44,2,3,2,1,1,1,2,4,2,4,3,4,1,1,https://trello-attachments.s3.amazonaws.com/56de109ef77f9b9a17c990fb/1460x560/9d379987e05bbeb75bcdf17ad62a897b/Growing_investment.jpg,,3,4,D1
10043,Healthy Lifestyle Coach,"By gathering personal data and health stats from wearables or sensors, artificial intelligence have the potential to replicate live coaches or doctors, giving personalized advices and tips to users in order for them to improve healthy behaviors that could affect various types of insurance policies or help inform financial behavior. This type of coach can permeate a variety of devices, from simple smartphones to complex virtual-reality systems, enabling the general population access to affordable and easy wellness education.","95,97,96","87, 88",-,3,4,4,3,3.5,2,3,3,4,3.5,3.44,3.17,2.94,4,4,4,4,1,4,2,1,2,3,4,4,1,1,"https://trello-attachments.s3.amazonaws.com/56fbbadd769af4acc7785bc6/404x301/cab40a4b01f23fabcdfc1dec9e80c2bc/img-ipad-01.jpg, https://trello-attachments.s3.amazonaws.com/56fbbadd769af4acc7785bc6/750x485/764cca1aa905d2d09267e9d080649c12/How-Diet-and-Exercise-Can-Affect-Your-Quality-of-Life-472087436-750x485.jpg",,0,1,A1
10044,Sharing Economy Insurance,"As the number of users of sharing economy services grow, these companies will need to offer protection and liability insurance to their stakeholders, in order to keep their services stable and sheltered from unexpected outcomes. Primary coverage should protect both parties involved in a transaction, so no side is left harmed in a negotiation. ","98,30,26","89, 90, 91",-,4,5,4,3,3,4,3,3,4,3,3.66,3.49,3.33,3,1,4,2,4,3,1,4,3,2,4,2,4,3,"https://trello-attachments.s3.amazonaws.com/56fbcb784078682144e672f0/311x162/de1376619c3cd4ba219b743463ddc988/images.png, https://trello-attachments.s3.amazonaws.com/56fbcb784078682144e672f0/1280x720/185a84627993380cfcca4c4ba5259499/3027355-poster-p-1-pixel-dimed-on-not-getting-by-in-the-sharing-economy.jpg",,3,4,D1
10045,Mutual Authentication Fraud-Proof Server,"Malware and hackers which target banks and digital services could be stopped by using a combination of offline and online security methods. One of the techniques with the biggest potential for security could be the  isolation of the server through virtualization or quantum key distribution. As security improves, it will become harder for fraudsters to avoid the secure barries done physically and digitally. ","100,101,102","92, 93, 94",-,3,4,3,2.5,2,2.5,2,3,3,2,2.75,2.58,2.42,1,4,2,2,4,3,1,3,2,3,1,2,4,3,https://trello-attachments.s3.amazonaws.com/56df095df0eb61f1ad65aaff/728x450/33bdea8f1d5f434eadb7b45671d6b988/50636-credit-card-hacking.jpg,,4,5,E1
10046,Emotional Money,"As financial services becomes more digitized, it will be easier to sync it with more layers of data, such as an avatar or a virtual assistant. This way, this type of services could give advice depending on the personal necessities of each user, looking for their overall financial status. Money which exhibited intelligence and emotion, and acted upon its use depending on their context could improve decision-making processes of buying or spending. ",103,95,-,4,3,1.5,2,1,1,1,2,2,1,1.82,1.48,1.25,3,3,4,3,3,4,4,2,1,1,2,4,1,1,https://trello-attachments.s3.amazonaws.com/56de03c42c481d9fad752f62/1800x1000/3c26b1debeb5d459f1e2cf71c986f442/17-Insights-when-it-comes-to-money-we-are-wired-to-emotional-bias.jpg,,0,1,A1
10047,Ethical AI,"Policies written by computers have the potential to adapt their algorithms depending on the background or necessities of the user, such as financial needs, making personalized experiences. With machine learning, the policies or contracts have the potential to evolve as their decisions are inspected by a crowd of specialists. Ethical values such as responsibility, transparency, auditability, incorruptibility can be thought as algorithimic and programmed to work as such.","104,105,16","96, 97",-,3,3,2,2,1.5,1,2,3,3,2,2.14,2.00,1.88,1,4,4,2,2,4,1,4,3,1,1,3,1,1,https://trello-attachments.s3.amazonaws.com/56fbc1018c5051c674d9872f/950x534/cfcdeb17f568065c0f0a9ac4f6fd5f90/robot2.jpg,,0,1,A1
10048,Peer To Peer Lending,"Online platforms and marketplaces which bypass banks by matching up lenders with individuals or small businesses that need to borrow money. These platforms are data-driven, and are able to check for the financial status of a borrower in minutes, approving or disapproving the loan instantly. The whole process is automated, creating a whole ecosystem of circulating capital. ","106,107,108",98,-,4,5,4,4,3.5,3.5,4,4,4,4,4.05,3.97,3.89,3,4,4,3,4,1,3,1,2,3,3,1,2,3,https://trello-attachments.s3.amazonaws.com/56de0c9bd76eec4a9cb9e5c5/660x412/4bfa2c635594ca529ebf2c0b851c1264/p2p_lending.jpg,,3,4,D1
10049,Unbundled Insurance Products,"New insurance carries which provide quick, event-related insurance are going to disrupt the market by saving money to customers because of its reduced comprehensiveness. For example, pay-per-mile car insurance or even disease health insurance. Transactions can be done entirely online, making it no-touch or low-touch - and with the use of sensors or wearables, it will be even easier to make the process as precise as needed. ","109,60",99,-,4,5,4,3.5,3,3.5,3,4,3,3.5,3.79,3.56,3.36,2,2,2,2,4,4,3,2,1,2,4,1,3,2,https://trello-attachments.s3.amazonaws.com/56fbcbfd55fd125ce69ace3d/2500x1661/64bb60a28a81129dc9f4a4fb57805104/metromile_.jpeg,,2,3,C1
10050,Decentralized Document Notary,"Powered by blockchain databases, documents can now be certified and verified using cryptography rather than by a third party. This will streamline the process and combat fraud reducing the overhead on traditional banking. ","110,11","100, 101, 102",-,4,4.5,4,5,3,3.5,2,2,3,3,3.98,3.12,2.56,1,1,1,3,3,1,4,1,1,2,4,4,3,2,https://trello-attachments.s3.amazonaws.com/56e23304e771d8a016f9649f/5616x3744/a3ca825959abe53bef955ec0ccca9f48/shutterstock_104542022.jpg,,4,5,E1
10051,AI Banker,"Instead of an account being run by a personal banker, decisions have the potential to be done directly by artificial intelligence. By analyzing not only  banking history, but all the personal data about a user, AI can tailor banking experiences and offer personalized financial products. The whole process can be automated, as the digital banker have the potential to improve standardization of process workflow and reduce error rates. ","18,96",,,3,4,3,3.5,2.5,1.5,2,3,4,2.5,3.12,2.66,2.33,1,1,3,4,4,1,1,1,3,3,4,2,4,3,"https://trello-attachments.s3.amazonaws.com/56de078fc703a4ca0c7326ee/480x360/0b4d039f3a1fd263520c0dfb63e7c4de/hqdefault.jpg, https://trello-attachments.s3.amazonaws.com/56de078fc703a4ca0c7326ee/3600x2400/73206ec9c35e4e8b8bd5d14668e35a14/shutterstock_267582539.jpg",,0,1,A1
10052,Algorithm Marketplace,"Most organisations can’t afford a team of highly-paid developers with unlimited time to create, test and refine their algorithms and process data. As a result, data competitions have been organised first and now communities of developers that have started offering up their algorithms for sale in dedicated marketplaces.","116,124",,,4,5,4,3.5,3,3,3,3,4,3.5,3.79,3.50,3.26,2,2,4,2,3,2,4,1,1,2,3,1,3,1,https://trello-attachments.s3.amazonaws.com/56c9f10ea20a44a55d299961/56c9fe747b5213659eebd455/x/e65cd7d81bb0cd5960920064fb344958/poisson-disc-voronoi.jpg,,3,4,D1
10053,Attention Economy,"We've turned a corner toward an economy where an increasing number of workers are no longer involved directly in the production, transportation, and distribution of material goods, but instead earn their living managing or dealing with information in some form. Since information is abundant, but attention to it isn't, the last one can be transformed into capital when it's paid, spent, given, taken or transacted, creating a new type of economy, typical from the cyberspace.","22,159,0",,,5,5,4.5,4,4.5,3.5,4,4,5,4,4.57,4.29,4.05,4,2,3,2,4,4,2,4,3,2,4,4,1,4,https://trello-attachments.s3.amazonaws.com/56ddadbfe14c13e62b4861fa/900x591/111aff7ed2e4f7f598750516749211bc/Reasons_20Your_20Business_20Needs_20a_20Mobile_20App.jpg,,1,2,B1
10054,Autonomous Device,"Devices that are connected to the cloud but run their own software, collect and mine their own data, and make decisions in real-time rather than simply being displays of information. Autonomous devices can conduct their own transactions and be independent profit centers as well, for example a smart home power supply may buy and sell energy as it is needed.","16,136,153",,,4,5,3,3,2.5,2,2,3,5,4,3.30,3.03,2.80,2,2,3,3,2,3,3,2,1,4,2,2,3,4,https://trello-attachments.s3.amazonaws.com/56e36423193a3422328d883c/2048x1360/9ede9240c53158cf6899fd1640d7a39b/Autonomy-Pros-01.jpg,,2,3,C1
10055,Behavioural Money,"Financial services and smart products which use predictive analytics learned from big data could find patterns in user behaviour in order to tailor experiences on an individual level. This way, money could adapt to customer's needs and context, and also be trackable because of their unique habits - making it impossible to suffer fraud or to be stolen. ",139,,,4,3.5,2.5,2,1,1,1,2,4,1,2.05,1.62,1.33,4,2,4,4,2,4,2,3,2,2,3,1,2,1,https://trello-attachments.s3.amazonaws.com/56d8982b59b94b958f59be66/644x369/049ee5354107c003f0ab4d0a4d260d07/personality1-644.jpg,,0,1,A1
10056,Blackbox Algorithmic Trading,Stock trading based on algorithms with predefined buy and sell conditions. The algorithms used in this trading method allow traders to trade at volumes and speeds impossible for humans. Many traders have been using prebuilt algorithms to compensate for their lack of trading industry knowledge.,"146,65",,,4,5,3.5,3.5,3,3.5,2,3,5,2.5,3.69,3.25,2.91,4,2,3,2,4,4,1,4,1,1,3,1,1,3,https://trello-attachments.s3.amazonaws.com/56e230484765cbb9673cf3ff/1600x1067/3a5cd25ab4d9483599ce185b71fefec0/automated-trading.jpg,,0,1,A1
10057,Compliance As A Service,Companies working in heavily regulated industries such as financial services will outsource their compliance to cloud-based third parties. An increasing number of data breaches and hacks are also causing a constantly shifting regulatory environment meaning that it will become a full time business just managing the legal side of holding customer data.,"157,162,130",,,3,5,3.5,3,3.5,2.5,3,3,3,4,3.48,3.24,3.03,4,4,2,3,1,1,1,3,3,2,4,2,1,3,https://trello-attachments.s3.amazonaws.com/5702748c856194ab755935ab/1349x890/3774456865b567969cc7ddf35b2097f3/compliance.jpg,,2,3,C1
10058,Crypto-Currency Debit Card,"Helping to bridge the gap between fiat currency and crypto-currency, these cards will allow crypto-accounts to operate within the traditional payment infrastructure. Cards may support a number of different currency types and will function the same as traditional debit cards, converting currencies on the backend.","149,51,122",,,4,5,4,2.5,3,3.5,3,3,2,3,3.49,3.11,2.80,1,4,2,3,1,3,4,4,3,2,1,2,4,1,https://trello-attachments.s3.amazonaws.com/56cf0561c80f8320377ebb2c/1280x700/46516bae75cfbbfc3b8f535045dca5b4/coinbase-shiftcard-bitcoin-cryptocurrency-digital-money.jpg,,1,2,B1
10059,Cyber Insurance,The growing threat of cyber attacks has created a need for this new class of insurance. Cyber insurance protects companies against hanks and data breaches that are not typically covered under Commercial General Liability policies. Cyber Insurance will become a must for any company dealing with digital transactions and storing customer data. ,"164,123",,,4,5,3.5,3,2,1.5,2,3,4,3,3.19,2.74,2.40,2,1,1,4,2,4,1,3,1,2,2,2,1,2,https://trello-attachments.s3.amazonaws.com/57016f94666a062f88f0bd2e/1910x1000/656058115b71f69b83a5bb30f89ad790/101614672-176217375.1910x1000.jpg,,4,5,E1
10060,Digital Security Trading,Trades of assets such as shares are settled by peer confirmation using blockchains. This cuts down on much of the overhead involved in regulating and mediating these trades by cutting out the need for auditors and clearinghouses. This in turn gives more access to users wishing to trade shares and greatly increases the speed and volume of transactions. ,"15,123",,,3,5,3.5,3,2.5,3,2,2,4,3.5,3.22,2.92,2.68,2,4,2,1,1,2,3,2,3,2,1,3,2,4,https://trello-attachments.s3.amazonaws.com/56e2369a26bf98c68e1ceab6/3888x2592/a77d17ea2724f4ebec2f079ad8987bee/shutterstock_268543904.jpg,,3,4,D1
10061,Hypermedia Distribution Protocol,"Enables the creation of completely distributed applications. Connects all computing devices with a single shared system of files. This type of protocol could potentially replace HTTP and create permanent, distributed web where websites are not dependent on a central entity or host to continue existing.",165,,,3,5,3.5,2.5,2.5,3,2,2,2,2,3.09,2.53,2.14,2,2,1,3,4,2,2,2,2,2,3,4,4,3,https://trello-attachments.s3.amazonaws.com/5702d49a08f2b0272e4fcb4c/1398x932/f18b19609a7dd31af42da2e475e27d48/linksweb.jpg,,3,4,D1
10062,Identity Insurance,"As cybercrimes become more common, companies and individuals will have to protect themselves against data security breaches. Unique identifications and digital information will converge between devices and services in a exponential speed, so insurance against loss or theft of this type of data will also have an increased importance. ","131,132,137",,,3,4.5,4,2.5,2,1.5,3,3,3,3,2.93,2.70,2.50,1,3,3,2,2,1,2,2,1,4,1,2,2,4,https://trello-attachments.s3.amazonaws.com/56fbcb90e0aaa2765b6f659c/615x409/493b5e58ad8aa41010b8eb4203de6b1d/Computer-hacker.jpg,,2,3,C1
10063,Intention Economy,"An economy in which demand will drive supply far more directly, efficiently, and compellingly than ever before, where vendors must respond to the actual intentions of customers instead of vying for the attention of many. Driven by the use of analytics and big data, business will offer products and services for specific personal needs stored in the cloud.",125,,,5,4.5,4,4.5,3.5,3.5,3,3,4,3.5,4.24,3.75,3.36,2,4,4,4,2,1,1,3,3,2,4,3,4,1,https://trello-attachments.s3.amazonaws.com/56de1fb1d80525ab225c9175/1280x598/acf8ed4c1e0f05de65f95e4c8e7bb542/1836004-doc-searls-on-becoming-part-of-the-intention-economy-rotator.jpg,,1,2,B1
10064,Live Spending Broadcast,"By syncing credit cards or bitcoins to social media, people will be able to broadcast what they are spending, requesting feedback to their network or simply showcasing their purchases. This could lead to behavioral changes towards what should be bought or not, depending on what people want to share. ",133,,,3,5,3.5,2,2,4,2,4,2,3,2.75,2.74,2.73,3,2,1,3,2,4,1,1,1,3,2,1,4,1,https://trello-attachments.s3.amazonaws.com/56d896a332f58e12b376683f/316x180/5df186fab7c308d40207eb2494f670a1/privacy2-316.jpg,,0,1,A1
10065,Nano-Payment,"Payments below the traditional denominational thresholds. These payments are typically fractions of a cent. New technologies have reduced friction payments and reduced costs in processing now making a new class payment equitable. Nano-costs could be appended to social media likes, advertisement clicks, and the sending of emails among other use cases. ","147,141",,,4,5,3.5,4,1.5,2.5,3,4,4,3,3.03,3.11,3.19,1,1,1,4,4,2,2,3,1,2,1,4,1,1,https://trello-attachments.s3.amazonaws.com/5702d743c13afc5dd54c8482/1300x776/17741ccfee52297106d0c340bf0ee3a7/Gov-backed-mint-chip-acquired-by-nanopay.jpg,,3,4,D1
10066,Online Only Bank,"A model conceived in the mid-90s for lower operational costs. This enables higher interest rates, lower fees and minimum requirements. Based online, they can problem-solve and innovate easily with technology – deposits are done via smartphone photos and customer service is available immediately through online chatting. This model will prevail over traditional banking.","144,151,143",,,5,5,5,5,4.5,3,4,5,3,4,4.89,4.19,3.66,4,4,2,2,3,2,3,4,1,4,3,1,3,3,https://trello-attachments.s3.amazonaws.com/56ddb9babfa6bf5612d0bc06/1040x585/0521e4582f83c99b3741b019ec92af3c/17152648466634.jpg,,1,2,B1
10067,Online-Only Insurance Company,"By selling all its products online along with handling claims, this new breed of companies aim to reshape traditional insurance by applying internet thinking across the insurance value chain from product design to claims servicing. They use, for example, big data and analytics support to ensure accurate product pricing and risk control. Furthermore, this online model has lower operating and distribution costs. ","145,59",,,4,5,5,4,4,3,4,5,3,4,4.35,3.97,3.66,2,4,2,1,2,1,1,4,2,3,2,3,4,4,https://trello-attachments.s3.amazonaws.com/56fbc19d8488f2a7f197f070/1430x616/ee322061d863830ea2346ae78d0d0360/online-only-devices.png,,2,3,C1
10068,Open Data Analytics,"As technology enables more real-time access to more data, there ismore opportunity for analysis and improved decision-making. A raft of applications have emerged to evaluate transaction patterns, anticipate outcomes and progress. Individuals will be able to measure themselves against large swaths of the population and have a clearer understanding of their position. Soon, personal related to income, spending and debt, will transition to become applications.","152,138",,,3,5,4,4.5,4.5,2.5,3,3,3,4,4.07,3.47,3.03,2,2,3,4,4,4,4,2,2,3,3,3,1,2,"https://trello-attachments.s3.amazonaws.com/56ddbaf6d02d442b45adacbc/1700x1121/3a88c7dc798d4e3a97d32b1425aef9f0/lod-cloud_colored.png, https://trello-attachments.s3.amazonaws.com/56ddbaf6d02d442b45adacbc/600x600/0282a86986da8a370d8716435f446697/Strategic-busines-Analytics-logo.jpg",,0,1,A1
10069,Peer To Peer Insurance,"By disrupting the business model of insurance companies, which normally gain from denying claims, peer to peer insurance will pool insurance premiums with small groups of policy holders.  Distribution of funds, claims records keeping, etc are handled by smart contracts and the insurance ""company"" functions as a decentralized autonomous corporation on the blockchain. By using behavioral science in order to decrease fraud, any money left at the end of the policy period is refunded and  larger reinsurers provide backup in case damages exceed available funds.  Peer-to-peer insurance is the sharing economy model applied to insurance.","59,156,129",,,4,5,4.5,3.5,3,2.5,3,4,4,3.5,3.87,3.56,3.29,1,3,2,4,1,2,2,3,1,3,1,2,1,2,https://trello-attachments.s3.amazonaws.com/56eab6475032070648d23b46/587x310/2064c757f14587c248111a31e09bad84/atelier-p2p.jpg,,3,4,D1
10070,Quantum Cash,Physical monetary notes that are either embedded with or linked to special quantum particles. These particles allow each note to have a unique unforgeable attribute making the notes impossible to counterfeit.,140,,,3,3,2,2,1,1,2,2,2,1.5,1.88,1.71,1.58,3,2,3,3,3,4,4,4,2,1,1,4,4,4,"https://trello-attachments.s3.amazonaws.com/56e21e9c9808b40fd9981ff9/695x554/b5435647d11b135fe1374c64088b7877/Quantum_Cash.jpg, https://trello-attachments.s3.amazonaws.com/56e21e9c9808b40fd9981ff9/1920x1080/08a077f3942cd1066d08bfa295cca744/Cash-Flow-is-King.jpg",,4,5,E1
10071,Secure-Adaptive Architecture,"With more digital businesses come more hackers, and with the birth of a new threat landscape we're seeing the death of antivirus software. A new type of security tools will be available to go on the offensive, leveraging predictive modeling, allowing apps to protect themselves for example.",121,,,3,4,3,3.5,2.5,1,2,3,3,3.5,3.12,2.47,2.04,1,1,2,4,1,3,3,2,1,2,2,1,2,1,"https://trello-attachments.s3.amazonaws.com/56c9f10ea20a44a55d299961/56c9fe7d3008661d693ca307/x/fab554f60364c691d85addb5252e7d68/Magnifying_20glass_20on_20danger-650-80.jpg, https://trello-attachments.s3.amazonaws.com/56c9fe7d3008661d693ca307/3413x1667/ce264ffc5a942b09fded6b2384d81507/redskyblogpostgraphic.png",,4,5,E1
10072,Self-Driving Car Insurance,"New insurance models will be needed for self-driving cars, in order to to allow for compensation from auto accidents. New paradigms will be needed to be incorporated in policies such as: manufacturer no-fault compensation, increased price for complex components, decreased automobile ownership regulatory permissions and data management.",135,,,4,4.5,2.5,2,1.5,1,2,5,3,2,2.45,2.19,1.97,1,1,1,1,4,4,1,4,3,3,3,3,4,2,https://trello-attachments.s3.amazonaws.com/56fbcbcece6b9400c54890e9/960x595/79e89a5b0ba96d53dcc57d81d92cf51c/960x0.jpg,,2,3,C1
10073,Selfie Pay,"As people become more mobile, and automation and digital technologies more pervasive, security becomes increasingly important. Online services migrate towards two-step authentication, instead of only passwords, whereas identity documents include biometric data. New wave of such technologies, relying on face recognition, found its way into payments, border agencies and automated access systems. All in order to facilitate the flow of people and data, without compromising security.",78,,,4,4,4,3,3,4,4,4,4,3,3.53,3.64,3.75,3,2,3,3,4,2,4,1,1,3,3,4,2,2,"https://trello-attachments.s3.amazonaws.com/56c9f10ea20a44a55d299961/56c9ff241bdcb89675cb9d16/x/2ee175e04d3057667d2de878d795b780/selfie-authentication-en-1.jpg, https://trello-attachments.s3.amazonaws.com/56c9f10ea20a44a55d299961/56c9ff241bdcb89675cb9d16/x/95058f00cd275288279acaa3ca6f334c/payment.jpg",,4,5,E1
10074,Side-Chain,A specific type of blockchain that operates with other blockchains. Users of one blockchain can effectively leverage the benefits or features of another blockchain without needing to use the other blockchains native tokens. Side chains also allow developers to create new blockchains with new features that utilize the scale of other blockchains without compromising them.,120,,,3,5,4,3.5,2.5,3.5,2,3,3,4,3.40,3.15,2.94,1,2,1,1,3,2,3,3,3,4,3,4,4,4,https://trello-attachments.s3.amazonaws.com/56e3677179708e09aa1a5dec/1629x615/5225c9f55e2b7bacd468ae2a03bb0a3b/sidechains.jpg,,3,4,D1
10075,Smart Assets,Connected appliances and other enterprise assets that have the ability to monitor themselves. This monitoring allows the devices to make decisions based on data such as reordering toner before it runs too low based on previous consumption habits or scheduling maintenance checks when it detects a certain probability of potential compromise. Devices will be given the ability to manage a financial account in order to pay for their consumables and services.,128,,,4,5,4,3.5,3,2.5,3,5,4,4,3.79,3.63,3.49,3,4,3,4,4,4,1,3,1,2,3,4,3,2,"https://trello-attachments.s3.amazonaws.com/56e3664e022e8aa35d2f15f9/1536x960/8baeb425caee555ed2dd6d69f0701866/clbi10_frth.ashx.jpeg, https://trello-attachments.s3.amazonaws.com/56e3664e022e8aa35d2f15f9/460x276/ad93b890520f27aac87855526eb05a6c/The-LG-smart-fridge-commu-007.jpg, https://trello-attachments.s3.amazonaws.com/56e3664e022e8aa35d2f15f9/1357x810/1b03d6b4cc672e8a15344ace2d36b0eb/Comexio-Smart-Home-Automation-System.jpg",,2,3,C1
10076,Smart-Bond,"Self-paying financial instruments that have automated risk-free interest rates and payment streams. These instruments, being facilitated by smart-contracts, eliminate the need for third parties such as Central Counter Parties, Central Security Depositories, Custodian Banks and more, reducing costs associated with trading and distribution.",160,,,3,4.5,3,4,3,2.5,2,3,3,3,3.40,2.97,2.63,2,2,2,4,1,3,3,3,3,2,3,3,2,1,https://trello-attachments.s3.amazonaws.com/5702db3799e02418f644d121/1920x1200/b60fbe9fb6323bf1d44e978f131c3d12/blog-FinTech.png,,0,1,A1
10077,Social Credit,"An IT-based mechanism similar to credit rating has been proposed for evaluation of citizens' demeanor. Certain online behaviors, such as criticizing the government online, buying foreign products or socializing with ""fringe elements"", could be penalized by delaying paperwork, restricting access to jobs or reducing internet speeds.","155,117",,,4,4.5,3,4,3,2.5,3,4,1,2.5,3.60,2.65,2.10,2,4,2,1,2,1,2,4,2,1,3,1,1,1,https://trello-attachments.s3.amazonaws.com/56c9f10ea20a44a55d299961/56c9ff071c1b875e619080b2/x/47f87fb96f68a809ec98813a09cd50a1/2.png,,3,4,D1
10078,Triple-Entry Accounting,"An alternative to double-entry bookkeeping where a transaction is recorded in three locations: the buyer's book, the seller's book, and a cryptographically secure third book. Triple-entry accounting solves the problem of being able to trust an given entity's books, eliminating the need for auditing.",118,,,3,4.5,4,3,3,2.5,2,3,2,2.5,3.40,2.77,2.34,1,3,1,1,4,4,3,2,4,2,4,1,4,4,https://trello-attachments.s3.amazonaws.com/5702d8a57bd69e296d05e2b6/1024x680/084d81711b0e2d9195a1d39f5495b8ec/triple-entry-bookkeeping-bitcoin.jpg,,4,5,E1
10079,Ultra-Secure Smartphone,"Smartphones that provide not only end-to-end data encryption but also a variety of other security measures such as voice encryption, location masking, microphone jamming, etc. This technology will become a must for high-profile business people who conduct much of their business from their phones and across internet connections from a range of less developed regions where security is more vulnerable.","150,163,158",,,4,4.5,4,3.5,3.5,2,3,3,3,4,3.87,3.29,2.86,1,1,2,1,4,3,2,3,1,4,2,3,2,3,https://trello-attachments.s3.amazonaws.com/57028590b44923412725630c/2000x1333/822ea44182031e259fca2a3436690574/smartphone-privacy-security-4.jpg,,4,5,E1
10080,Video Appraisal,"Insurance companies will be able to settle claims faster by appraising the damage via video. Customers will be able to talk to a virtual or live assistant in real time, saving both the insurer and the insured time and travel. Doubts and next steps can be discussed instantly, and the claimant will be able to get an electronic payment to settle the claim without the bureaucracy. ","127,119,161",,,3,5,3.5,3.5,3,4,3,4,4,3,3.48,3.50,3.53,4,2,2,2,3,2,3,2,4,2,3,3,2,1,https://trello-attachments.s3.amazonaws.com/56fd84d2e73d3c4103cdb6ce/630x386/601823ea546d6f1c446590e91db6e917/esurance.jpg,,2,3,C1
10081,Voice ID Security,"With a rise in conversational interfacing in the form of digital personal assistants such as Siri, Cortana, and others, voice as an interaction medium is growing. With this comes the ability to ID users, allow access, and authorize actions based on the unique identifiers in a users voice, seamlessly integrating the ""log-in"" experience into the product. ","148,142",,,4,5,4.5,4.5,3,4,4,4,4,3.5,4.07,3.98,3.89,3,1,4,1,3,3,2,2,4,3,1,2,2,1,"https://trello-attachments.s3.amazonaws.com/56c9f4d0275b52a4b55d1762/4800x3200/a6f4b43a93a070262d498371e5249aa9/shutterstock_125814494.jpg, https://trello-attachments.s3.amazonaws.com/56c9f4d0275b52a4b55d1762/1000x667/792b80dc74aa7790f037e593d0cb08ff/Voice-Array-2.jpg",,4,5,E1